objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,associated_names,identifier,cabinet,drawer,box,bag,type_point,material,material_source,length (mm),width (mm),thickness (mm),weight (g),count,source,language,rights,rightsstatement,student initials,publish,GGOI,original_format,type,format,object_comments,group,display_template,object_location,image_small,image_thumb,extension,box_num,folder_number,archival_item,id_num,multiple_num,last,matching_objects
ce_cd_d8_9826-a,,Ce.9826,"Crabtree, Donald ""Don"" E.",,N/A,,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9826-a,D,8,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9826-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9826-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9826-a_th.jpg,JPG,CD,D8,,9826-a,a,,CE_CD_D8_9826-a.JPG
ce_cd_d8_9826-b,ce_cd_d8_9826-a,Ce.9826,"Crabtree, Donald ""Don"" E.",,N/A,,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9826-b,D,8,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9826-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9826-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9826-b_th.jpg,JPG,CD,D8,,9826-b,b,,CE_CD_D8_9826-b.JPG
ce_cd_d8_9828-a,,Ce.9828,"Crabtree, Donald ""Don"" E.",,N/A,,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9828-a,D,8,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9828-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9828-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9828-a_th.jpg,JPG,CD,D8,,9828-a,a,,CE_CD_D8_9828-a.JPG
ce_cd_d8_9828-b,ce_cd_d8_9828-a,Ce.9828,"Crabtree, Donald ""Don"" E.",,N/A,,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9828-b,D,8,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9828-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9828-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9828-b_th.jpg,JPG,CD,D8,,9828-b,b,,CE_CD_D8_9828-b.JPG
ce_cd_d8_9832-a,,Ce.9832,"Crabtree, Donald ""Don"" E.",,N/A,,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9832-a,D,8,N/A,N/A,biface,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9832-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9832-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9832-a_th.jpg,JPG,CD,D8,,9832-a,a,,CE_CD_D8_9832-a.JPG
ce_cd_d8_9832-b,ce_cd_d8_9832-a,Ce.9832,"Crabtree, Donald ""Don"" E.",,N/A,,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9832-b,D,8,N/A,N/A,biface,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9832-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9832-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9832-b_th.jpg,JPG,CD,D8,,9832-b,b,,CE_CD_D8_9832-b.JPG
ce_cd_d8_9833-a,,Ce.9833,"Crabtree, Donald ""Don"" E.",,N/A,,"Titmus technique, One corner missing",experimental artifacts; lithics,,CE_CD_D8_9833-a,D,8,N/A,N/A,biface,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9833-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9833-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9833-a_th.jpg,JPG,CD,D8,,9833-a,a,,CE_CD_D8_9833-a.JPG
ce_cd_d8_9833-b,ce_cd_d8_9833-a,Ce.9833,"Crabtree, Donald ""Don"" E.",,N/A,,"Titmus technique, One corner missing",experimental artifacts; lithics,,CE_CD_D8_9833-b,D,8,N/A,N/A,biface,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9833-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9833-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9833-b_th.jpg,JPG,CD,D8,,9833-b,b,,CE_CD_D8_9833-b.JPG
ce_cd_d8_9835-a,,Ce.9835,"Crabtree, Donald ""Don"" E.",1975,1975-78,yes,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9835-a,D,8,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,multiple,artifact_image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9835-a.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9835-a_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9835-a_th.jpg,JPG,CD,D8,,9835-a,a,,CE_CD_D8_9835-a.JPG
ce_cd_d8_9835-b,ce_cd_d8_9835-a,Ce.9835,"Crabtree, Donald ""Don"" E.",1975,1975-78,yes,Titmus technique,experimental artifacts; lithics,,CE_CD_D8_9835-b,D,8,N/A,N/A,projectile point,obsidian,"Glass Butte, Oregon",,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,,,artifact,Image;StillImage,image/jpeg,,artifact,image,https://objects.lib.uidaho.edu/crabtree/CE_CD_D8_9835-b.JPG,https://objects.lib.uidaho.edu/crabtree/small/ce_cd_d8_9835-b_sm.jpg,https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cd_d8_9835-b_th.jpg,JPG,CD,D8,,9835-b,b,,CE_CD_D8_9835-b.JPG
