filename,removed,extension,format,identifier,metadata_match,id_base,object_location,image_small,image_thumb
CE_CA_D2_1449_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1449_model,ce_ca_d2_1449_model,CE_CA_D2_1449,,,
CE_CA_D2_1449_model.mtl,true,mtl,model,CE_CA_D2_1449_model,ce_ca_d2_1449_model,CE_CA_D2_1449,,,
CE_CA_D2_1449_model.obj,true,obj,model,CE_CA_D2_1449_model,ce_ca_d2_1449_model,CE_CA_D2_1449,,,
CE_CA_D2_1449_model.stl,true,stl,model,CE_CA_D2_1449_model,ce_ca_d2_1449_model,CE_CA_D2_1449,,,
CE_CA_D2_1449_model.x3d,true,x3d,model,CE_CA_D2_1449_model,ce_ca_d2_1449_model,CE_CA_D2_1449,,,
CE_CA_D2_1733_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1733_model,ce_ca_d2_1733_model,CE_CA_D2_1733,,,
CE_CA_D2_1733_model.mtl,true,mtl,model,CE_CA_D2_1733_model,ce_ca_d2_1733_model,CE_CA_D2_1733,,,
CE_CA_D2_1733_model.obj,true,obj,model,CE_CA_D2_1733_model,ce_ca_d2_1733_model,CE_CA_D2_1733,,,
CE_CA_D2_1733_model.stl,true,stl,model,CE_CA_D2_1733_model,ce_ca_d2_1733_model,CE_CA_D2_1733,,,
CE_CA_D2_1733_model.x3d,true,x3d,model,CE_CA_D2_1733_model,ce_ca_d2_1733_model,CE_CA_D2_1733,,,
CE_CA_D2_1753_model.jpg,true,jpg,image/jpeg,CE_CA_D2_1753_model,ce_ca_d2_1753_model,CE_CA_D2_1753,,,
CE_CA_D2_1753_model.mtl,true,mtl,model,CE_CA_D2_1753_model,ce_ca_d2_1753_model,CE_CA_D2_1753,,,
CE_CA_D2_1753_model.obj,true,obj,model,CE_CA_D2_1753_model,ce_ca_d2_1753_model,CE_CA_D2_1753,,,
CE_CA_D2_1753_model.stl,true,stl,model,CE_CA_D2_1753_model,ce_ca_d2_1753_model,CE_CA_D2_1753,,,
CE_CA_D2_1753_model.x3d,true,x3d,model,CE_CA_D2_1753_model,ce_ca_d2_1753_model,CE_CA_D2_1753,,,
CE_CB_D4_1401_model.stl,true,stl,model,CE_CB_D4_1401_model,ce_cb_d4_1401_model,CE_CB_D4_1401,,,
CE_CB_D4_8163_model.jpg,true,jpg,image/jpeg,CE_CB_D4_8163_model,ce_cb_d4_8163_model,CE_CB_D4_8163,,,
CE_CB_D4_8163_model.mtl,true,mtl,model,CE_CB_D4_8163_model,ce_cb_d4_8163_model,CE_CB_D4_8163,,,
CE_CB_D4_8163_model.obj,true,obj,model,CE_CB_D4_8163_model,ce_cb_d4_8163_model,CE_CB_D4_8163,,,
CE_CB_D4_8163_model.stl,true,stl,model,CE_CB_D4_8163_model,ce_cb_d4_8163_model,CE_CB_D4_8163,,,
CE_CB_D4_8163_model.x3d,true,x3d,model,CE_CB_D4_8163_model,ce_cb_d4_8163_model,CE_CB_D4_8163,,,
CE_CB_D4_8591_model.jpg,true,jpg,image/jpeg,CE_CB_D4_8591_model,ce_cb_d4_8591_model,CE_CB_D4_8591,,,
CE_CB_D4_8591_model.mtl,true,mtl,model,CE_CB_D4_8591_model,ce_cb_d4_8591_model,CE_CB_D4_8591,,,
CE_CB_D4_8591_model.obj,true,obj,model,CE_CB_D4_8591_model,ce_cb_d4_8591_model,CE_CB_D4_8591,,,
CE_CB_D4_8591_model.stl,true,stl,model,CE_CB_D4_8591_model,ce_cb_d4_8591_model,CE_CB_D4_8591,,,
CE_CB_D4_8591_model.x3d,true,x3d,model,CE_CB_D4_8591_model,ce_cb_d4_8591_model,CE_CB_D4_8591,,,
CE_CB_D4_9035_model.jpg,true,jpg,image/jpeg,CE_CB_D4_9035_model,ce_cb_d4_9035_model,CE_CB_D4_9035,,,
CE_CB_D4_9035_model.mtl,true,mtl,model,CE_CB_D4_9035_model,ce_cb_d4_9035_model,CE_CB_D4_9035,,,
CE_CB_D4_9035_model.obj,true,obj,model,CE_CB_D4_9035_model,ce_cb_d4_9035_model,CE_CB_D4_9035,,,
CE_CB_D4_9035_model.stl,true,stl,model,CE_CB_D4_9035_model,ce_cb_d4_9035_model,CE_CB_D4_9035,,,
CE_CB_D4_9035_model.x3d,true,x3d,model,CE_CB_D4_9035_model,ce_cb_d4_9035_model,CE_CB_D4_9035,,,
CE_CB_D4_9559_model.jpg,true,jpg,image/jpeg,CE_CB_D4_9559_model,ce_cb_d4_9559_model,CE_CB_D4_9559,,,
CE_CB_D4_9559_model.mtl,true,mtl,model,CE_CB_D4_9559_model,ce_cb_d4_9559_model,CE_CB_D4_9559,,,
CE_CB_D4_9559_model.obj,true,obj,model,CE_CB_D4_9559_model,ce_cb_d4_9559_model,CE_CB_D4_9559,,,
CE_CB_D4_9559_model.stl,true,stl,model,CE_CB_D4_9559_model,ce_cb_d4_9559_model,CE_CB_D4_9559,,,
CE_CB_D4_9559_model.x3d,true,x3d,model,CE_CB_D4_9559_model,ce_cb_d4_9559_model,CE_CB_D4_9559,,,
CE_CC_D2_905_model.jpg,true,jpg,image/jpeg,CE_CC_D2_905_model,ce_cc_d2_905_model,CE_CC_D2_905,,,
CE_CC_D2_905_model.mtl,true,mtl,model,CE_CC_D2_905_model,ce_cc_d2_905_model,CE_CC_D2_905,,,
CE_CC_D2_905_model.obj,true,obj,model,CE_CC_D2_905_model,ce_cc_d2_905_model,CE_CC_D2_905,,,
CE_CC_D2_905_model.stl,true,stl,model,CE_CC_D2_905_model,ce_cc_d2_905_model,CE_CC_D2_905,,,
CE_CC_D2_905_model.x3d,true,x3d,model,CE_CC_D2_905_model,ce_cc_d2_905_model,CE_CC_D2_905,,,
CE_CD_D2_8560_model.jpg,true,jpg,image/jpeg,CE_CD_D2_8560_model,ce_cd_d2_8560_model,CE_CD_D2_8560,,,
CE_CD_D2_8560_model.mtl,true,mtl,model,CE_CD_D2_8560_model,ce_cd_d2_8560_model,CE_CD_D2_8560,,,
CE_CD_D2_8560_model.obj,true,obj,model,CE_CD_D2_8560_model,ce_cd_d2_8560_model,CE_CD_D2_8560,,,
CE_CD_D2_8560_model.stl,true,stl,model,CE_CD_D2_8560_model,ce_cd_d2_8560_model,CE_CD_D2_8560,,,
CE_CD_D2_8560_model.x3d,true,x3d,model,CE_CD_D2_8560_model,ce_cd_d2_8560_model,CE_CD_D2_8560,,,
CE_CD_D6_2795_model.jpg,true,jpg,image/jpeg,CE_CD_D6_2795_model,ce_cd_d6_2795_model,CE_CD_D6_2795,,,
CE_CD_D6_2795_model.mtl,true,mtl,model,CE_CD_D6_2795_model,ce_cd_d6_2795_model,CE_CD_D6_2795,,,
CE_CD_D6_2795_model.obj,true,obj,model,CE_CD_D6_2795_model,ce_cd_d6_2795_model,CE_CD_D6_2795,,,
CE_CD_D6_2795_model.stl,true,stl,model,CE_CD_D6_2795_model,ce_cd_d6_2795_model,CE_CD_D6_2795,,,
CE_CD_D6_2795_model.x3d,true,x3d,model,CE_CD_D6_2795_model,ce_cd_d6_2795_model,CE_CD_D6_2795,,,
CE_B81_F32-Item3.jpg,true,jpg,image/jpeg,CE_B81_F32-Item3,ce_b81_f32-item3,CE_B81_F32,,,
CE_B81_F32-Item4.jpg,true,jpg,image/jpeg,CE_B81_F32-Item4,ce_b81_f32-item4,CE_B81_F32,,,
CE_B83_F2-Item3-001.jpg,true,jpg,image/jpeg,CE_B83_F2-Item3-001,ce_b83_f2-item3-001,CE_B83_F2-Item3,,,
CE_CB_D1_10160-a.JPG,true,JPG,image/jpeg,CE_CB_D1_10160-a,ce_cb_d1_10160-a,CE_CB_D1_10160,,,
CE_CB_D1_10160-b.JPG,true,JPG,image/jpeg,CE_CB_D1_10160-b,ce_cb_d1_10160-b,CE_CB_D1_10160,,,
CE_CC_D2_3617-a.JPG,true,JPG,image/jpeg,CE_CC_D2_3617-a,ce_cc_d2_3617-a,CE_CC_D2_3617,,,
CE_CC_D2_3617-b.JPG,true,JPG,image/jpeg,CE_CC_D2_3617-b,ce_cc_d2_3617-b,CE_CC_D2_3617,,,
CE_CC_D3_4355-a.JPG,true,JPG,image/jpeg,CE_CC_D3_4355-a,ce_cc_d3_4355-a,CE_CC_D3_4355,,,
CE_CC_D3_4355-b.JPG,true,JPG,image/jpeg,CE_CC_D3_4355-b,ce_cc_d3_4355-b,CE_CC_D3_4355,,,
CE_CC_D3_7152-a.JPG,true,JPG,image/jpeg,CE_CC_D3_7152-a,ce_cc_d3_7152-a,CE_CC_D3_7152,,,
CE_CC_D3_7152-b.JPG,true,JPG,image/jpeg,CE_CC_D3_7152-b,ce_cc_d3_7152-b,CE_CC_D3_7152,,,
CE_CC_D3_919-a.JPG,true,JPG,image/jpeg,CE_CC_D3_919-a,ce_cc_d3_919-a,CE_CC_D3_919,,,
CE_CC_D3_919-b.JPG,true,JPG,image/jpeg,CE_CC_D3_919-b,ce_cc_d3_919-b,CE_CC_D3_919,,,
CE_CD_D5_884-a.JPG,true,JPG,image/jpeg,CE_CD_D5_884-a,ce_cd_d5_884-a,CE_CD_D5_884,,,
CE_CD_D5_884-b.JPG,true,JPG,image/jpeg,CE_CD_D5_884-b,ce_cd_d5_884-b,CE_CD_D5_884,,,
CE_CD_D5_885-a.JPG,true,JPG,image/jpeg,CE_CD_D5_885-a,ce_cd_d5_885-a,CE_CD_D5_885,,,
CE_CD_D5_885-b.JPG,true,JPG,image/jpeg,CE_CD_D5_885-b,ce_cd_d5_885-b,CE_CD_D5_885,,,
CE_CD_D5_886-a.JPG,true,JPG,image/jpeg,CE_CD_D5_886-a,ce_cd_d5_886-a,CE_CD_D5_886,,,
CE_CD_D5_886-b.JPG,true,JPG,image/jpeg,CE_CD_D5_886-b,ce_cd_d5_886-b,CE_CD_D5_886,,,
CE_CD_D5_887-a.JPG,true,JPG,image/jpeg,CE_CD_D5_887-a,ce_cd_d5_887-a,CE_CD_D5_887,,,
CE_CD_D5_887-b.JPG,true,JPG,image/jpeg,CE_CD_D5_887-b,ce_cd_d5_887-b,CE_CD_D5_887,,,
CE_CD_D6_1133-a.JPG,true,JPG,image/jpeg,CE_CD_D6_1133-a,ce_cd_d6_1133-a,CE_CD_D6_1133,,,
CE_CD_D6_1133-b.JPG,true,JPG,image/jpeg,CE_CD_D6_1133-b,ce_cd_d6_1133-b,CE_CD_D6_1133,,,
CE_CD_D6_1138-a.JPG,true,JPG,image/jpeg,CE_CD_D6_1138-a,ce_cd_d6_1138-a,CE_CD_D6_1138,,,
CE_CD_D6_1138-b.JPG,true,JPG,image/jpeg,CE_CD_D6_1138-b,ce_cd_d6_1138-b,CE_CD_D6_1138,,,
CE_CD_D6_1237-a.JPG,true,JPG,image/jpeg,CE_CD_D6_1237-a,ce_cd_d6_1237-a,CE_CD_D6_1237,,,
CE_CD_D6_1237-b.JPG,true,JPG,image/jpeg,CE_CD_D6_1237-b,ce_cd_d6_1237-b,CE_CD_D6_1237,,,
CE_CD_D6_1245-a.JPG,true,JPG,image/jpeg,CE_CD_D6_1245-a,ce_cd_d6_1245-a,CE_CD_D6_1245,,,
CE_CD_D6_1245-b.JPG,true,JPG,image/jpeg,CE_CD_D6_1245-b,ce_cd_d6_1245-b,CE_CD_D6_1245,,,
CE_CD_D6_1250-a.JPG,true,JPG,image/jpeg,CE_CD_D6_1250-a,ce_cd_d6_1250-a,CE_CD_D6_1250,,,
CE_CD_D6_1250-b.JPG,true,JPG,image/jpeg,CE_CD_D6_1250-b,ce_cd_d6_1250-b,CE_CD_D6_1250,,,
CE_CD_D6_1253-a.JPG,true,JPG,image/jpeg,CE_CD_D6_1253-a,ce_cd_d6_1253-a,CE_CD_D6_1253,,,
CE_CD_D6_1253-b.JPG,true,JPG,image/jpeg,CE_CD_D6_1253-b,ce_cd_d6_1253-b,CE_CD_D6_1253,,,
CE_CD_D6_1273-a.JPG,true,JPG,image/jpeg,CE_CD_D6_1273-a,ce_cd_d6_1273-a,CE_CD_D6_1273,,,
CE_CD_D6_1273-b.JPG,true,JPG,image/jpeg,CE_CD_D6_1273-b,ce_cd_d6_1273-b,CE_CD_D6_1273,,,
CE_CD_D6_1558-a.JPG,true,JPG,image/jpeg,CE_CD_D6_1558-a,ce_cd_d6_1558-a,CE_CD_D6_1558,,,
CE_CD_D6_1558-b.JPG,true,JPG,image/jpeg,CE_CD_D6_1558-b,ce_cd_d6_1558-b,CE_CD_D6_1558,,,
CE_CD_D6_1601-a.JPG,true,JPG,image/jpeg,CE_CD_D6_1601-a,ce_cd_d6_1601-a,CE_CD_D6_1601,,,
