objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,source,language,rights,rightsstatement,student_initials,publish,original_format,type,format,object_comments,group,cabinet,drawer,box,bag,type_point,material,material_source,length_mm,width_mm,thickness_mm,weight,count,GGOI,filename,display_template,object_location,image_thumb,image_small
ce_ca_d3_9272-a,,Ce.9272,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9272-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,obsidian,N/A,17.8,23.19,4.57,2.1,1,,CE_CA_D3_9272-a.jpg,artifact_image,,,
ce_ca_d3_9272-b,ce_ca_d3_9272-a,Ce.9272,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9272-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,obsidian,N/A,17.8,23.19,4.57,2.1,1,,CE_CA_D3_9272-b.jpg,artifact_image,,,
ce_ca_d3_9277-a,,Ce.9277,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9277-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,26.29,18.09,5.04,2.1,1,,CE_CA_D3_9277-a.jpg,artifact_image,,,
ce_ca_d3_9277-b,ce_ca_d3_9277-a,Ce.9277,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9277-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,26.29,18.09,5.04,2.1,1,,CE_CA_D3_9277-b.jpg,artifact_image,,,
ce_ca_d3_9281-a,,Ce.9281,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9281-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,23.54,23.36,5.21,2.7,1,,CE_CA_D3_9281-a.jpg,artifact_image,,,
ce_ca_d3_9281-b,ce_ca_d3_9281-a,Ce.9281,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9281-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,23.54,23.36,5.21,2.7,1,,CE_CA_D3_9281-b.jpg,artifact_image,,,
ce_ca_d3_9282-a,,Ce.9282,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9282-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,obsidian,N/A,25.62,21.54,5.41,2.8,1,,CE_CA_D3_9282-a.jpg,artifact_image,,,
ce_ca_d3_9282-b,ce_ca_d3_9282-a,Ce.9282,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9282-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,obsidian,N/A,25.62,21.54,5.41,2.8,1,,CE_CA_D3_9282-b.jpg,artifact_image,,,
ce_ca_d3_9292-a,,Ce.9292,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9292-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,25.51,22.53,5.14,2.9,1,,CE_CA_D3_9292-a.jpg,artifact_image,,,
ce_ca_d3_9292-b,ce_ca_d3_9292-a,Ce.9292,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9292-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,25.51,22.53,5.14,2.9,1,,CE_CA_D3_9292-b.jpg,artifact_image,,,
ce_ca_d3_9295-a,,Ce.9295,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9295-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,23.89,22.58,5.84,3.9,1,,CE_CA_D3_9295-a.jpg,artifact_image,,,
ce_ca_d3_9295-b,ce_ca_d3_9295-a,Ce.9295,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9295-b,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,23.89,22.58,5.84,3.9,1,,CE_CA_D3_9295-b.jpg,artifact_image,,,
ce_ca_d3_9296-a,,Ce.9296,Indigenous,,N/A,,No contextual data,cultural artifacts; lithics,,,,,,,,,CE_CA_D3_9296-a,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,http://rightsstatements.org/vocab/InC-EDU/1.0/,AF,no,artifact,Image;StillImage,image/jpeg,,no publish - artifacts,A,3,N/A,N/A,projectile point,ignimbrite,N/A,25.53,20.33,7.02,4.3,1,,CE_CA_D3_9296-a.jpg,artifact_image,,,
